OrderID,Order Year,Order Quarter,Order Month,Order Day,Customer Name,Customer Country,Customer City,ProductName,Product CategoryName,Quantity,UnitPrice in USD,Unit Discount in %,UnitCost in USD,Shipper Name,Freight Cost (Paid by Customer),Latitude of City,Longitude of City,Code
10409,2015,Qtr 4,November,4,Los Espandrilos Fantasticos,Argentina,Buenos Aires,Basket Shoes,Sportswear,12,10.96,0,8.78,SafeAndFast,222, -34.6037,-58.3815,ARG
10409,2015,Qtr 4,November,4,Los Espandrilos Fantasticos,Argentina,Buenos Aires,Kool Sunglasses,Children's Clothes,12,24.58,0,20.36,SafeAndFast,222, -34.6037,-58.3815,ARG
10521,2015,Qtr 4,December,24,Los Pantalones Magicos,Argentina,Buenos Aires,Cap,Sportswear,6,12.78,0,9.67,SafeAndFast,294.65, -34.6037,-58.3815,ARG
10521,2015,Qtr 4,December,24,Los Pantalones Magicos,Argentina,Buenos Aires,Duck Shirt,Baby Clothes,10,9.63,0,7.28,SafeAndFast,294.65, -34.6037,-58.3815,ARG
10521,2015,Qtr 4,December,24,Los Pantalones Magicos,Argentina,Buenos Aires,LA. Shorts,Swimwear,3,6.24,0,5.17,SafeAndFast,294.65, -34.6037,-58.3815,ARG
10531,2018,Qtr 1,March,6,Los Espandrilos Fantasticos,Argentina,Buenos Aires,Rasta WCT,Sportswear,2,7.9,0,6.69,SafeAndFast,222, -34.6037,-58.3815,ARG
10716,2016,Qtr 4,November,18,Ropa total,Argentina,Buenos Aires,AAA Running Shoe,Sportswear,10,25.57,0,22.24,SafeAndFast,82.18, -34.6037,-58.3815,ARG
10716,2016,Qtr 4,November,18,Ropa total,Argentina,Buenos Aires,Basket Shoes,Sportswear,5,9.74,0,8.78,SafeAndFast,82.18, -34.6037,-58.3815,ARG
10716,2016,Qtr 4,November,18,Ropa total,Argentina,Buenos Aires,Summit Hiking Boots,Men's Footwear,7,104.36,0,82.74,SafeAndFast,82.18, -34.6037,-58.3815,ARG
10782,2017,Qtr 1,January,11,Los Pantalones Magicos,Argentina,Buenos Aires,Rossi Bermuda Shorts,Men's Clothes,1,8.19,0,7.53,SafeAndFast,294.65, -34.6037,-58.3815,ARG
10819,2018,Qtr 1,January,3,Los Pantalones Magicos,Argentina,Buenos Aires,Bow tie,Men's Clothes,20,7.28,0,6.61,SafeAndFast,294.65, -34.6037,-58.3815,ARG
